"CodPaquete","CodEnvio","Tipo","Peso"
2,1,,350.28
3,1,,411.29
4,1,,329.28
5,2,,299.9
6,2,,310.14
7,2,,304.99
8,2,,344.49
9,2,,260.44
10,3,,201.57
11,3,,200.5
12,4,,187.95
13,4,,213.59
14,4,,165.84
15,5,,0.22
16,6,,0.28
17,6,,0.92
18,6,,0.95
19,7,,0.83
20,7,,1.09
21,7,,0.35
22,7,,0.19
23,8,,0.23
24,8,,1.17
25,8,,0.31
26,9,,0.37
27,9,,0.36
28,9,,0.87
29,10,,393.36
30,10,,355.11
31,10,,361.35
32,10,,436.47
33,11,,297.97
34,11,,298.3
35,12,,309.87
36,12,,310.18
37,12,,321.05
38,12,,261.89
39,12,,324.02
40,13,,198.43
41,13,,198.84
42,13,,192.97
43,13,,196.48
44,14,,0.87
45,15,,0.36
46,15,,0.32
47,15,,0.35
48,15,,0.63
49,16,,1.14
50,16,,0.2
51,16,,0.85
52,16,,0.81
53,17,,0.29
54,17,,0.28
55,18,,0.22
56,18,,0.26
57,18,,0.28
58,18,,0.56
59,19,,345.02
60,19,,344.55
61,19,,371.09
62,20,,293.18
63,20,,305
64,20,,312.15
65,20,,289.21
66,21,,203.32
67,21,,202.06
68,21,,190.41
69,22,,0.32
70,22,,0.34
71,22,,1.18
72,23,,0.34
73,23,,0.35
74,24,,1.08
75,24,,1.02
76,24,,0.21
77,25,,0.3
78,26,,0.75
79,26,,0.89
80,26,,0.24
81,26,,0.36
82,26,,0.37
83,26,,0.25
84,27,,0.99
85,27,,1.23
86,27,,0.28
87,28,,0.96
88,29,,0.35
89,29,,0.46
90,30,,1.09
91,30,,0.69
92,30,,0.26
93,30,,0.98
94,30,,1.25
95,30,,0.9
96,30,,1.11
97,30,,0.3
98,31,,95.57
99,31,,105.08
100,31,,98.64
101,32,,119.11
102,32,,112.76
103,32,,112.67
104,32,,104.25
105,32,,121.58
106,33,,99.15
107,33,,108.32
108,33,,112.36
109,34,,400.42
110,34,,389
111,34,,393.3
112,34,,390.28
113,34,,326.99
114,35,,253.31
115,35,,323.34
116,36,,289.69
117,37,,191.27
118,37,,204.14
119,37,,204.91
120,38,,0.37
121,38,,0.32
122,38,,0.29
123,38,,0.33
124,39,,0.31
125,39,,0.23
126,39,,0.35
127,40,,0.58
128,40,,1.33
129,40,,0.29
130,40,,0.32
131,41,,1.09
132,42,,0.81
133,42,,1.41
134,42,,0.25
135,42,,0.26
136,42,,0.35
137,42,,0.99
138,43,,0.31
139,43,,1.12
140,44,,0.96
141,44,,0.25
142,45,,1.11
143,45,,0.4
144,46,,0.33
145,46,,0.83
146,46,,0.25
147,47,,0.76
148,47,,0.33
149,48,,1.12
150,48,,0.79
151,48,,0.82
152,49,,100.9
153,49,,108.84
154,49,,95.24
155,49,,104.69
156,50,,122.06
157,51,,136.59
158,51,,117.26
159,52,,101.3
160,53,,98.27
161,54,,98.26
162,54,,92.02
163,54,,94.41
164,54,,90.94
165,54,,99.78
166,55,,393.4
167,55,,389.05
168,55,,380.96
169,56,,290.4
170,56,,296.32
171,56,,266.18
172,56,,298.62
173,56,,319.29
174,57,,223.6
175,57,,181.26
176,58,,194.39
177,58,,201.99
178,58,,214.72
179,59,,0.9
180,59,,0.2
181,59,,0.88
182,59,,0.29
183,59,,0.71
184,59,,0.24
185,60,,0.28
186,60,,1.25
187,60,,0.35
188,60,,0.31
189,60,,0.17
190,61,,0.95
191,61,,0.25
192,61,,0.33
193,61,,0.33
194,61,,1.06
195,62,,0.26
196,62,,0.87
197,63,,1.22
198,63,,0.84
199,64,,1.01
200,64,,0.41
201,64,,0.81
202,64,,0.35
203,64,,0.25
204,65,,0.32
205,65,,1.06
206,65,,0.25
207,66,,109.3
208,66,,107.96
209,66,,102.47
210,67,,140.54
211,67,,108.45
212,68,,127.85
213,69,,96.26
214,69,,100.17
215,70,,104.53
216,70,,92.27
217,70,,106.14
218,71,,372.78
219,72,,377.11
220,72,,340.71
221,72,,423.92
222,73,,297.48
223,73,,271.98
224,73,,302.15
225,74,,188.88
226,75,,172.74
227,75,,208.54
228,75,,180.99
229,76,,1.02
230,76,,0.93
231,76,,0.97
232,76,,0.29
233,76,,0.34
234,77,,0.88
235,77,,1.2
236,77,,1.12
237,77,,1.05
238,77,,0.27
239,78,,1.05
240,78,,1.12
241,79,,0.6
242,79,,0.55
243,79,,0.31
244,79,,1.18
245,80,,0.32
246,81,,0.52
247,81,,1.45
248,82,,96.69
249,82,,111.82
250,82,,100.75
251,83,,109.12
252,83,,121.82
253,83,,121.23
254,84,,95.72
255,84,,101.61
256,85,,101.89
257,86,,368.18
258,86,,401.52
259,87,,376.61
260,87,,385.67
261,87,,366.24
262,87,,383.32
263,88,,298.16
264,88,,311.64
265,88,,302.11
266,89,,237.72
267,89,,186.94
268,89,,193.08
269,89,,201.46
270,90,,1.18
271,90,,0.28
