"CodEnvio","Fecha","CodCliente","CodEmpleado","CodVehiculo","DireccionOrigen","CPostalOrigen","DireccionDestino","CPostalDestino","Distancia","Importe"
1,"1/11/14 0:00:00","0079",7,"3851-CBT","CL / JOSE MANUEL BLECUA 26                                  ","50011","CL / RODRIGO REBOLLEDO 36 DPDO                                              ","50002",9,299.5200
2,"1/11/14 0:00:00","0080",8,"8745-CBF","CL / MARIANO BARBASAN 10 BAJO                                               ","50002","AV / SAN JOSE 70                                                            ","50008",8,369.7900
3,"1/11/14 0:00:00","0063",9,"Z-2345-BJ","CL / VIA HISPANIDAD 61 6 1C                                                 ","50012","CL / VIA HISPANIDAD 61 7 4º A                               ","50012",4,53.2400
4,"1/11/14 0:00:00","0048",9,"Z-2345-BJ","AV / GIL DE JASA 18                                                         ","50006","CL / TURCO 14                                               ","50002",4,73.0800
5,"1/11/14 0:00:00","0082",1,"Z-2675-BF","CL / FRANCISCO FERRER 1-3                                                   ","50015","PA / INDEPENDENCIA  24-26 5                                                 ","50004",4,5.0200
6,"1/11/14 0:00:00","0034",1,"Z-2675-BF","CL / MIGUEL SERVET 93-95                                                    ","50002","CL / CARMEN 16                                              ","50002",3,5.1900
7,"1/11/14 0:00:00","0091",1,"Z-2675-BF","CL / MIGUEL SERVET 112                                                      ","50013","CL / ESPOZ Y MINA 4                                         ","50003",5,5.3600
8,"1/11/14 0:00:00","0039",1,"Z-2675-BF","CL / EUGENIA BUESO 9                                                        ","50002","CL / COSO  7                                                ","50002",7,5.3500
9,"1/11/14 0:00:00","0074",1,"Z-2675-BF","CL / GARCIA SANCHEZ, 36                                                     ","50005","CL / FRAY LUIS DE LEON 9 DPO                                ","50011",9,5.4300
10,"2/11/14 0:00:00","0019",9,"3851-CBT","CL / ISABEL DE SANTO DOMINGO  32                                            ","50014","CL / SAN JORGE  5                                                           ","50001",10,468.8800
11,"2/11/14 0:00:00","0009",1,"8745-CBF","CL / MONASTERIO DE SIRESA 9-11                              ","50002","CL / GERONA 12                                                              ","50007",6,112.3200
12,"2/11/14 0:00:00","0086",1,"8745-CBF","CL / RAMON SALANOVA 17                                                      ","50007","CL / PABLO PARELLADA 27                                                     ","50007",6,279.8600
13,"2/11/14 0:00:00","0031",2,"Z-2345-BJ","CL / DAROCA 80-82                                                           ","50010","CL / MONASTERIO DE OBARRA,  2-4 BAJO                        ","50002",4,99.4000
14,"2/11/14 0:00:00","0063",3,"Z-2675-BF","CL / ALBAREDA,  14                                                          ","50004","CL / VIA HISPANIDAD 61 7 4º A                               ","50012",10,5.2600
15,"2/11/14 0:00:00","0049",3,"Z-2675-BF","PZA/ SAN MIGUEL 12                                          ","50002","CL / INDEPENCENCIA 10                                                       ","50004",3,5.1400
